
16:42:53 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.
16:57:32 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myFunction =\= Debugger: require(): Failed opening required '../App/Extensions/myFunction.php' (include_path='.:/usr/share/php:/usr/share/pear'), /var/www/Vibius/Core/FrameworkLoader.php at line 19

16:57:32 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myFunction =\= Debugger: require(): Failed opening required '../App/Extensions/myFunction.php' (include_path='.:/usr/share/php:/usr/share/pear'), /var/www/Vibius/Core/FrameworkLoader.php at line 19

16:57:50 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myExtension

17:02:20 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myExtension

17:02:21 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myExtension

17:02:21 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myExtension

17:10:39 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:14:10 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:14:11 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:14:12 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:14:12 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:14:13 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:15:00 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:15:42 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

17:18:45 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135 =\= Loading extension: myExtension

17:18:54 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135 =\= Loading extension: myExtension

17:18:55 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135 =\= Loading extension: myExtension

17:19:03 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135 =\= Loading extension: myExtension

17:21:43 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/asfassaf | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

